RowID,Drink ID,Drink Name,Category,Alcoholic,Glass,Instructions,Ingredients,Ingredients Measure,Ingredients_Full
0,11000,Mojito,Cocktail,ALCOHOLIC,HIGHBALL GLASS,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,"Light rum, Lime, Sugar, Mint, Soda water","2-3 oz, Juice of 1, 2 tsp, 2-4","Light rum: 2-3 oz, Lime: Juice of 1, Sugar: 2 tsp, Mint: 2-4"
1,11005,Dry Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive","1 2/3 oz, 1/3 oz, 1","Gin: 1 2/3 oz, Dry Vermouth: 1/3 oz, Olive: 1"
2,11008,Manhattan,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel","3/4 oz, 2 1/2 oz Blended, dash, 2 or 3, 1, 1 twist of","Sweet Vermouth: 3/4 oz, Bourbon: 2 1/2 oz Blended, Angostura bitters: dash, Ice: 2 or 3, Maraschino cherry: 1, Orange peel: 1 twist of"
3,11720,Martinez Cocktail,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,"Gin, Dry Vermouth, Triple sec, Orange bitters, Cherry","1 oz, 1 oz, 1/4 tsp, 1 dash, 1","Gin: 1 oz, Dry Vermouth: 1 oz, Triple sec: 1/4 tsp, Orange bitters: 1 dash, Cherry: 1"
4,11728,Martini,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Gin, Dry Vermouth, Olive","1 2/3 oz, 1/3 oz, 1","Gin: 1 2/3 oz, Dry Vermouth: 1/3 oz, Olive: 1"
5,12560,Afterglow,Cocktail,NON ALCOHOLIC,HIGHBALL GLASS,Mix. Serve over ice.,"Grenadine, Orange juice, Pineapple juice","1 part, 4 parts, 4 parts","Grenadine: 1 part, Orange juice: 4 parts, Pineapple juice: 4 parts"
6,12562,Alice Cocktail,Cocktail,NON ALCOHOLIC,COCKTAIL GLASS,"Shake well, strain into a large cocktail glass.","Grenadine, Orange juice, Pineapple juice, Cream","1 cl, 1 cl, 2 cl, 4 cl","Grenadine: 1 cl, Orange juice: 1 cl, Pineapple juice: 2 cl, Cream: 4 cl"
7,12564,Apple Karate,Cocktail,NON ALCOHOLIC,HIGHBALL GLASS,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Apple juice, Carrot","2 cups, 1 large","Apple juice: 2 cups, Carrot: 1 large"
8,12572,Bora Bora,Cocktail,NON ALCOHOLIC,HIGHBALL GLASS,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","Pineapple juice, Passion fruit juice, Lemon juice, Grenadine","10 cl, 6 cl, 1 cl, 1 cl","Pineapple juice: 10 cl, Passion fruit juice: 6 cl, Lemon juice: 1 cl, Grenadine: 1 cl"
9,12706,Imperial Cocktail,Cocktail,ALCOHOLIC,COCKTAIL GLASS,Shake with ice and strain into cocktail glass.,"Lime juice, Gin, Aperol","4 cl, 2 cl, 4 cl","Lime juice: 4 cl, Gin: 2 cl, Aperol: 4 cl"
10,12758,Gagliardo,Cocktail,ALCOHOLIC,COCKTAIL GLASS,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","Peach Vodka, Lemon juice, Galliano, Sirup of roses","5 parts, 3 parts, 1 part, 1 part","Peach Vodka: 5 parts, Lemon juice: 3 parts, Galliano: 1 part, Sirup of roses: 1 part"
